year,day,racenumber,racename,raceknownas,grade,winner,trainer,jockey,odds,favourite,winningdistance,time,age,weight,runners,going,racedistance,,
2018,1,1,Sky Bet Supreme Novices' Hurdle,Supreme Novices' Hurdle,1,Summerville Boy,Tom George,Noel Fehily,9/1,No,0.2,04:05.0,6,11-7,19,Soft(Heavy in Places),2m0f87y,,
2018,1,2,Racing Post Arkle Challenge Trophy Novices' Chase,Arkle Novices' Chase,1,Footpad,Willie Mullins,Ruby Walsh,5/6,Yes,14,04:02.4,6,11-4,5,Soft(Heavy in Places),1m7f199y,,
2018,1,3,Ultima Handicap Chase,Handicap Chase,3,Coo Star Sivola,Nick Williams,Lizzie Kelly,5/1,Yes,0.2,06:47.5,6,10-13,18,Soft(Heavy in Places),3m1f0y,,
2018,1,4,Unibet Champion Hurdle Challenge Trophy,Champion Hurdle,1,Buveur D'Air,Nicky Henderson,Barry Geraghty,4/6,Yes,0.2,04:05.0,7,11-10,11,Soft(Heavy in Places),2m0f87y,,
2018,1,5,OLGB Mares's Hurdle,Mares' Hurdle,1,Benie Des Dieux,Willie Mullins,Ruby Walsh,9/2,No,0.5,05:10.1,7,11-5,9,Soft(Heavy in Places),2m3f200y,,
2018,1,6,National Hunt Challenge Cup Amateur Riders' Novices' Chase,National Hunt Novices's Chase,2,Rathvinden,Willie Mullins,Patrick Mullins,9/2,No,0.5,08:50.3,10,11-6,16,Soft(Heavy in Places),3m7f170y,,
2018,1,7,Close Brothers Novices' Handicap Chase,Novices' Handicap Chase,Listed,Mister Whitaker,Mick Channon,Brian Hughes,13/2,No,0.1,05:28.8,6,11-2,19,Soft(Heavy in Places),2m4f87y,,
2018,2,1,Ballymore Novices' Hurdle,Novices' Hurdle,1,Samcro,Gordon Elliot,Jack Kennedy,8/11,Yes,2.75,05:18.2,6,11-7,14,Soft(Heavy in Places),2m5f26y,,
2018,2,2,RSA Novices' Chase,RSA Novices' Chase,1,Presenting Percy,Patrick Kelly,Davy Russell,5/2,Yes,7,06:32.0,7,11-4,10,Soft(Heavy in Places),3m0f80y,,
2018,2,3,Coral Cup Handicap Hurdle,Coral Cup Handicap Hurdle,3,Bleu Berry,Willie Mullins,Mark Walsh,20/1,No,3,05:20.6,7,11-2,26,Soft(Heavy in Places),2m5f26y,,
2018,2,4,Betway Queen Mother Champion Chase,Queen Mother Champion Chase,1,Altior,Nicky Henderson,Nico De Boinville,1/1,Yes,7,04:07.2,8,11-10,9,Soft(Heavy in Places),1m7f199y,,
2018,2,5,Glenfarclas Chase (Cross Country Chase),Cross Country Chase,-,Tiger Roll,Gordon Elliot,Keith Donoghue,7/1,No,2,08:51.6,8,11-4,16,Soft(Heavy in Places),3m6f37y,,
2018,2,6,Boodles Fred Winter Juvenile Handicap Hurdle,Fred Winter Juvenile Handicap Hurdle,3,Veneer of Charm,Gordon Elliot,Jack Kennedy,33/1,No,3,04:11.0,4,11-0,22,Soft(Heavy in Places),2m0f87y,,
2018,2,7,Weatherbys Champion Bumper,Champion Bumper,1,Relegate,Willie Mullins,Katie Walsh,25/1,No,0.2,04:04.1,5,10-12,23,Soft(Heavy in Places),2m0f87y,,
2018,3,1,JLT Novices' Chase,JLT Novices' Chase,1,Shattered Love,Gordon Elliot,Jack Kennedy,4/1,No,7,05:11.3,7,10-11,9,Soft(Heavy in Places),2m3f198y,,
2018,3,2,Pertemps Network Final Handicap Hurdle,Pertemps Network Final Handicap Hurdle,3,Delta Work,Gordon Elliot,Davy Russell,6/1,No,0.025,06:09.2,5,10-10,23,Soft(Heavy in Places),2m7f213y,,
2018,3,3,Ryanair Chase,Ryanair Chase,1,Balko des Flos,Henry de Bromhead,Davy Russell,8/1,No,4.5,05:23.3,7,11-10,6,Soft(Heavy in Places),2m4f166y,,
2018,3,4,Sun Bets Stayer Hurdle,Stayer Hurdle,1,Pennhill,Willie Mullins,Paul Townend,12/1,No,2,06:20.4,7,11-10,15,Soft(Heavy in Places),2m7f213y,,
2018,3,5,Brown Advisory & Merriebelle Stable Plate Handicap Chase,Brown Advisory Plate Handicap Chase,3,The Storyteller,Gordon Elliot,Davy Russell,5/1,Yes,1.75,05:27.8,7,11-4,22,Soft(Heavy in Places),2m4f166y,,
2018,3,6,Trull House Stud Mares' Novice Hurdle(Dawn Run),Mares' Novice Hurdle,2,Laurina,Willie Mullins,Paul Townend,4/7,Yes,18,04:15.7,5,11-7,14,Soft(Heavy in Places),2m0f179y,,
2018,3,7,Fulke Walwyn Kim Muir Challenge Cup Amateur Riders Handicap Chase,Kim Muir Handicap Chase,-,Missed Approach,Warren Greatrex,Noel McParlan,8/1,No,20,07:09.0,8,11-5,20,Soft(Heavy in Places),3m2f0y,,
2018,4,1,JCB Triumph Hurdle,Triumph Hurdle,1,Farclas,Gordon Elliot,Jack Kennedy,9/1,No,1.75,04:17.0,4,11-0,9,Soft(Heavy in Places),2m0f179y,,
2018,4,2,Randox Health County Handicap Hurdle,County Handicap Hurdle,3,Mohaayed,Dan Skelton,Bridget Andrews,33/1,No,2.75,04:18.0,6,10-11,24,Soft(Heavy in Places),2m0f179y,,
2018,4,3,Albert Bartlett Novices' Hurdle,Albert Bartlett Novices' Hurdle,1,Kilbricken Storm,Colin Tizzard,Harry Cobden,33/1,No,3,06:13.6,7,11-5,20,Soft(Heavy in Places),2m7f213y,,
2018,4,4,Timico Cheltenham Gold Cup,Cheltenham Gold Cup,1,Native River,Colin Tizzard,Richard Johnson,5/1,No,4.5,07:02.9,8,11-10,15,Soft(Heavy in Places),3m2f70y,,
2018,4,5,St Jame's Place Foxhunter Challenge Cup Open Hunters' Chase,Foxhunter Chase,-,Pachu Du Polder,Paul Nicholls,Harriet Tucker,25/1,No,0.2,07:17.2,11,12-0,24,Soft(Heavy in Places),3m2f70y,,
